title;name;code;country;timezone
"Bolsas y Mercados Argentinos";"BCBA";"XBUE";"Argentina";"America/Argentina/Buenos_Aires"
"Australian Securities Exchange";"ASX";"XASX";"Australia";"Australia/Sydney"
"Cboe Australia";"CXA";"CXAC";"Australia";"Australia/Sydney"
"Vienna Stock Exchange";"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext Brussels";"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"Botswana Stock Exchange";"BSE";"XBOT";"Botswana";"Africa/Gaborone"
"B3 Bovespa";"Bovespa";"BVMF";"Brazil";"America/Paramaribo"
"Canadian Securities Exchange";"CSE";"XCNQ";"Canada";"America/Toronto"
"TSX Venture Exchange";"TSXV";"XTSX";"Canada";"America/Toronto"
"Toronto Stock Exchange";"TSX";"XTSE";"Canada";"America/Toronto"
"Cboe Canada";"NEO";"NEOE";"Canada";"America/Toronto"
"Bolsa de Comercio de Santiago";"BVS";"XSGO";"Chile";"America/Santiago"
"Shenzhen Stock Exchange";"SZSE";"XSHE";"China";"Asia/Shanghai"
"Shanghai Stock Exchange";"SSE";"XSHG";"China";"Asia/Shanghai"
"Bolsa de Valores de Colombia";"BVC";"XBOG";"Colombia";"America/New_York"
"Prague Stock Exchange";"PSE";"XPRA";"Czech Republic";"Europe/Prague"
"Nasdaq Copenhagen";"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"Egyptian Exchange";"EGX";"XCAI";"Egypt";"Africa/Cairo"
"Nasdaq Tallinn";"OMXT";"XTAL";"Estonia";"Europe/Tallinn"
"Nasdaq Helsinki";"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext Paris";"Euronext";"XPAR";"France";"Europe/Paris"
"Boerse Stuttgart";"XSTU";"XSTU";"Germany";"Europe/Berlin"
"Frankfurt Stock Exchange (Xetra)";"XETR";"XETR";"Germany";"Europe/Berlin"
"Frankfurt Stock Exchange";"FSX";"XFRA";"Germany";"Europe/Berlin"
"Börse Berlin";"XBER";"XBER";"Germany";"Europe/Berlin"
"Börse Hannover";"XHAN";"XHAN";"Germany";"Europe/Berlin"
"Börse München";"Munich";"XMUN";"Germany";"Europe/Berlin"
"Börse Düsseldor";"XDUS";"XDUS";"Germany";"Europe/Berlin"
