"Rank","Company Names","Company Code","Marketcap","Stock Price","Origin Flag","Country"
"1","Microsoft","MSFT","$3.033 T","$407.21","🇺🇸","USA"
"2","Apple","AAPL","$2.951 T","$190.92","🇺🇸","USA"
"3","Saudi Aramco","2222.SR","$2.026 T","$8.34","🇸🇦","S. Arabia"
"4","Alphabet (Google)","GOOG","$1.909 T","$153.46","🇺🇸","USA"
"5","Amazon","AMZN","$1.653 T","$160.05","🇺🇸","USA"
"6","NVIDIA","NVDA","$1.522 T","$616.49","🇺🇸","USA"
"7","Meta Platforms (Facebook)","META","$1.027 T","$399.96","🇺🇸","USA"
"8","Berkshire Hathaway","BRK-B","$826.22 B","$380.36","🇺🇸","USA"
"9","Eli Lilly","LLY","$611.43 B","$644.09","🇺🇸","USA"
"10","TSMC","TSM","$602.86 B","$116.24","🇹🇼","Taiwan"
"11","Tesla","TSLA","$598.97 B","$188.42","🇺🇸","USA"
"12","Broadcom","AVGO","$568.87 B","$1,215","🇺🇸","USA"
"13","Visa","V","$551.51 B","$272.39","🇺🇸","USA"
"14","JPMorgan Chase","JPM","$494.10 B","$171.76","🇺🇸","USA"
"15","Novo Nordisk","NVO","$481.75 B","$108.10","🇩🇰","Denmark"
"16","UnitedHealth","UNH","$465.74 B","$503.55","🇺🇸","USA"
"17","Walmart","WMT","$442.17 B","$164.24","🇺🇸","USA"
"18","LVMH","MC.PA","$418.80 B","$838.43","🇫🇷","France"
"19","Mastercard","MA","$410.65 B","$437.90","🇺🇸","USA"
"20","Exxon Mobil","XOM","$409.90 B","$102.56","🇺🇸","USA"
"21","Johnson & Johnson","JNJ","$384.20 B","$159.60","🇺🇸","USA"
"22","Samsung","005930.KS","$370.23 B","$55.78","🇰🇷","S. Korea"
"23","Procter & Gamble","PG","$366.41 B","$155.72","🇺🇸","USA"
"24","Home Depot","HD","$351.92 B","$353.60","🇺🇸","USA"
"25","ASML","ASML","$349.28 B","$869.98","🇳🇱","Netherlands"
"26","Tencent","TCEHY","$335.48 B","$35.57","🇨🇳","China"
"27","Oracle","ORCL","$312.91 B","$113.48","🇺🇸","USA"
"28","Nestlé","NESN.SW","$307.04 B","$115.08","🇨🇭","Switzerland"
"29","Merck","MRK","$306.56 B","$120.98","🇺🇸","USA"
"30","Costco","COST","$305.70 B","$688.94","🇺🇸","USA"
"31","AbbVie","ABBV","$289.63 B","$164.05","🇺🇸","USA"
"32","Kweichow Moutai","600519.SS","$288.70 B","$229.83","🇨🇳","China"
"33","AMD","AMD","$285.43 B","$176.68","🇺🇸","USA"
"34","Adobe","ADBE","$283.32 B","$626.83","🇺🇸","USA"
"35","Chevron","CVX","$278.75 B","$147.66","🇺🇸","USA"
"36","Salesforce","CRM","$275.28 B","$284.39","🇺🇸","USA"
"37","Toyota","TM","$270.92 B","$200.90","🇯🇵","Japan"
"38","Bank of America","BAC","$263.07 B","$33.32","🇺🇸","USA"
"39","Coca-Cola","KO","$257.22 B","$59.50","🇺🇸","USA"
"40","L'Oréal","OR.PA","$256.79 B","$480.24","🇫🇷","France"
"41","Netflix","NFLX","$251.12 B","$573.77","🇺🇸","USA"
"42","International Holding Company","IHC.AE","$238.62 B","$108.78","🇦🇪","UAE"
"43","ICBC","1398.HK","$238.26 B","$0.49","🇨🇳","China"
"44","Reliance Industries","RELIANCE.NS","$235.83 B","$34.86","🇮🇳","India"
"45","Accenture","ACN","$232.94 B","$371.53","🇮🇪","Ireland"
"46","Pepsico","PEP","$231.18 B","$168.15","🇺🇸","USA"
"47","Roche","ROG.SW","$230.16 B","$285.70","🇨🇭","Switzerland"
"48","Hermès","RMS.PA","$222.44 B","$2,124","🇫🇷","France"
"49","Novartis","NVS","$220.64 B","$107.34","🇨🇭","Switzerland"
"50","Thermo Fisher Scientific","TMO","$214.45 B","$555.06","🇺🇸","USA"
"51","McDonald","MCD","$213.79 B","$289.84","🇺🇸","USA"
"52","Cisco","CSCO","$212.03 B","$52.18","🇺🇸","USA"
"53","AstraZeneca","AZN","$207.86 B","$67.04","🇬🇧","UK"
"54","SAP","SAP","$206.32 B","$175.14","🇩🇪","Germany"
"55","Shell","SHEL","$205.02 B","$63.10","🇬🇧","UK"
"56","PetroChina","601857.SS","$204.51 B","$1.17","🇨🇳","China"
"57","Abbott Laboratories","ABT","$196.15 B","$112.99","🇺🇸","USA"
"58","Linde","LIN","$195.81 B","$403.84","🇬🇧","UK"
"59","T-Mobile US","TMUS","$193.84 B","$162.10","🇺🇸","USA"
"60","China Mobile","0941.HK","$190.45 B","$8.66","🇨🇳","China"
"61","Agricultural Bank of China","601288.SS","$185.76 B","$0.54","🇨🇳","China"
"62","Comcast","CMCSA","$185.35 B","$46.05","🇺🇸","USA"
"63","Intel","INTC","$183.30 B","$43.36","🇺🇸","USA"
"64","Alibaba","BABA","$183.27 B","$73.31","🇨🇳","China"
"65","Wells Fargo","WFC","$180.98 B","$50.29","🇺🇸","USA"
